DatasetID,PlantedCropID,BinID,isIssue,USDAInspectionIdentifier,Variety,BinName,Farm,FieldName,FieldNumber,DeliveryDate,LWRockRating,AvgSeedPlantingDepth,PotatoDays,StemEndSucrose,StemEndGlucose,RevisedStemEndSucrose,RevisedStemEndGlucose,SixOzPercent,Dirt,SoftRotPercent,PinkEyePercent,SunburnPercent,UndersizePercent,SpecificGravity,InfiltrationRateInchesPerHour,StDevFieldElevationFeet,DayDiff_VineKillToHarvest,Rainall_HalfInch_Count,OneInchRainfallCount,MaxDailyRainfallInches,RainfallVsCanopyImpact,RainfallInchesPrev3DaysOfHarvest,Rainfall_TuberInit_to_VineKill,Rainfall_VineKill_to_Harvest,PhostrolApplications,LoadingHoursUnder50,LoadingHours50to60,LoadingHours60to65,LoadingHours65Plus,PileHeightFeet,isEvenPileTop,CumulativeNegativePileTempDegreeDays,CumulativePositivePileTempDegreeDays,CumulativePercentPerDayFromMaxFanSpeed,CumulativePercentPerDayFromMaxRelativeHumidity,isBurbank,isUmatilla,isAlpine,isAlturas,isReveille
25,780D2B4E-6DCE-4F2D-B1B7-A32144EA7301,543,1,3724,Burbank,BRT04,Brooten,BROT 10,82100,9/16/2020,4,6.5,574,0.666666,1.661111,0.6925,1.0525,0.615,0.018,0.009,0.003,0.005,0.045,1.084,4.4,3.31,-1,15,6,2.1,3.58045,0,14.82,0.87,2,-1,-1,-1,-1,15,1,-18.7,73.5,13.5,9.2,1,0,0,0,0
26,780D2B4E-6DCE-4F2D-B1B7-A32144EA7301,543,1,3769,Burbank,BRT04,Brooten,BROT 10,82100,9/17/2020,4,6.5,574,0.666666,1.661111,0.6925,1.0525,0.604,0.023,0.006,0,0.004,0.038,1.083,4.4,3.31,-1,15,6,2.1,3.58045,0,15.16,0.87,2,6.5,-1,-1,-1,15,1,-18.7,71.4,13.3,9.1,1,0,0,0,0
28,780D2B4E-6DCE-4F2D-B1B7-A32144EA7301,544,0,3684001,Burbank,BRT05,Brooten,BROT 10,82100,9/14/2020,4,6.5,574,0.666666,1.661111,0.6925,1.0525,0.619,0.032,0.009,0.001,0.003,0.042,1.083,4.4,3.31,-1,15,6,2.1,3.58045,0.53,14.82,0.87,2,-1,11,-1,-1,15,1,-11.3,32.5,2.5,3,1,0,0,0,0
29,780D2B4E-6DCE-4F2D-B1B7-A32144EA7301,544,1,3705,Burbank,BRT05,Brooten,BROT 10,82100,9/15/2020,4,6.5,574,0.666666,1.661111,0.6925,1.0525,0.599,0.024,0.011,0.002,0.003,0.043,1.087,4.4,3.31,-1,15,6,2.1,3.58045,0.04,14.82,0.87,2,-1,10.4,-1,-1,15,1,-10.6,28.1,1.6,2.9,1,0,0,0,0
30,780D2B4E-6DCE-4F2D-B1B7-A32144EA7301,544,0,3724001,Burbank,BRT05,Brooten,BROT 10,82100,9/16/2020,4,6.5,574,0.666666,1.661111,0.6925,1.0525,0.615,0.018,0.009,0.003,0.005,0.045,1.084,4.4,3.31,-1,15,6,2.1,3.58045,0,14.82,0.87,2,-1,10.1,-1,-1,15,1,-14.2,48.8,7.4,4,1,0,0,0,0
32,780D2B4E-6DCE-4F2D-B1B7-A32144EA7301,545,0,3684002,Burbank,BRT06,Brooten,BROT 10,82100,9/11/2020,4,6.5,574,0.666666,1.661111,0.6925,1.0525,0.619,0.032,0.009,0.001,0.003,0.042,1.083,4.4,3.31,-1,15,6,2.1,3.58045,0,14.76,0.4,2,4.9,-1,-1,-1,15,1,-18,59.6,12.3,7.7,1,0,0,0,0
33,780D2B4E-6DCE-4F2D-B1B7-A32144EA7301,545,1,3684,Burbank,BRT06,Brooten,BROT 10,82100,9/14/2020,4,6.5,574,0.666666,1.661111,0.6925,1.0525,0.619,0.032,0.009,0.001,0.003,0.042,1.083,4.4,3.31,-1,15,6,2.1,3.58045,0.53,14.82,0.87,2,-1,-1,-1,-1,15,1,-18.4,57.7,11.8,7.6,1,0,0,0,0
34,F151C126-11A9-4E51-8721-26EFF0E7FB93,546,0,3625,Burbank,BRT07,Brooten,BROT 55,82550,9/9/2020,1,6.4,574,0.468888,1.263333,0.7325,0.7725,0.484,0.035,0.007,0.013,0.005,0,1.08,4.1,7.23,-1,6,3,1.81,2.93241,0.35,7.37,0.67,2,0.9,-1,-1,-1,15,1,-26.9,88.4,26.4,10.7,1,0,0,0,0
35,F151C126-11A9-4E51-8721-26EFF0E7FB93,546,0,3615,Burbank,BRT07,Brooten,BROT 55,82550,9/10/2020,1,6.4,574,0.468888,1.263333,0.7325,0.7725,0.623,0.024,0.008,0.021,0.004,0.025,1.078,4.1,7.23,-1,6,3,1.81,2.93241,0.35,7.37,0.41,2,4.8,-1,-1,-1,15,1,-26.8,87.8,26.2,10.6,1,0,0,0,0
36,F7E35717-677A-4F44-AB67-3B019845C383,547,0,3582,Burbank,BRT08,Brooten,BROT 60,82600,9/8/2020,1,6.3,574,0.551111,1.421111,0.675,1.0825,0.518,0.022,0.014,0.028,0.009,0.04,1.077,3.8,5.01,-1,14,6,1.55,3.07134,0.35,13.97,1.47,2,1.5,-1,-1,-1,15,1,-27.7,117.2,32.1,16.4,1,0,0,0,0
